species,longitude,latitude,el
cs,165.4583333,43.95833333,1
cs,165.875,44.29166667,1
cs,165.9583333,44.375,1
cs,164.2916667,42.79166667,1
cs,163.125,41.125,1
cs,163.125,41.125,1
cs,163.125,41.125,1
cs,163.2083333,41.125,1
cs,163.125,41.125,1
cs,163.2083333,41.125,1
cs,163.2916667,41.29166667,1
cs,163.125,41.29166667,1
cs,160.375,42.04166667,1
cs,159.7916667,42.54166667,1
cs,159.625,42.625,1
cs,159.7083333,42.625,1
cs,161.125,42.375,1
cs,161.9583333,41.875,1
cs,160.9583333,43.04166667,1
cs,161.0416667,43.04166667,1
cs,160.9583333,42.95833333,1
cs,161.0416667,42.875,1
cs,161.2916667,42.875,1
cs,161.375,42.875,1
cs,161.7083333,42.04166667,1
cs,162.4583333,42.04166667,1
cs,160.2083333,41.625,1
cs,160.7916667,38.79166667,1
cs,160.7916667,38.875,1
cs,160.7916667,38.875,1
cs,160.875,38.875,1
cs,160.2916667,41.79166667,1
cs,161.125,42.625,1
cs,161.875,43.375,1
cs,161.9583333,43.375,1
cs,161.5416667,41.375,1
cs,161.4583333,41.375,1
cs,161.625,41.375,1
cs,161.2916667,41.54166667,1
cs,161.2083333,41.625,1
cs,161.0416667,41.625,1
cs,159.7916667,42.20833333,1
cs,156.2916667,43.625,1
cs,156.2083333,43.625,1
cs,156.9583333,43.79166667,1
cs,159.625,37.875,1
cs,159.625,37.875,1
cs,159.7083333,37.875,1
cs,159.7916667,37.875,1
cs,159.7916667,37.95833333,1
cs,151.625,41.79166667,1
cs,151.375,41.875,1
cs,150.4583333,41.625,1
cs,150.625,41.70833333,1
cs,150.7083333,41.70833333,1
cs,150.875,41.70833333,1
cs,150.9583333,41.70833333,1
cs,151.0416667,41.625,1
cs,151.125,41.625,1
cs,151.125,41.625,1
cs,151.2083333,41.625,1
cs,153.2083333,42.875,1
cs,154.2916667,43.79166667,1
cs,154.375,43.70833333,1
cs,154.4583333,43.70833333,1
cs,154.875,43.625,1
cs,154.9583333,43.625,1
cs,154.9583333,43.625,1
cs,154.4583333,43.625,1
cs,153.2916667,42.79166667,1
cs,153.2916667,42.79166667,1
cs,155.0416667,44.20833333,1
cs,154.9583333,44.04166667,1
cs,154.9583333,44.04166667,1
cs,154.9583333,43.45833333,1
cs,154.9583333,43.45833333,1
cs,155.0416667,43.45833333,1
cs,156.125,43.29166667,1
cs,156.375,42.79166667,1
cs,154.4583333,40.95833333,1
cs,146.2083333,37.70833333,1
cs,146.2083333,37.79166667,1
cs,146.4583333,37.79166667,1
cs,164.625,44.29166667,1
cs,164.625,44.375,1
cs,163.875,43.875,1
cs,163.375,43.95833333,1
cs,165.625,44.20833333,1
cs,165.625,44.45833333,1
cs,165.0416667,44.375,1
cs,164.875,44.54166667,1
cs,162.875,45.45833333,1
cs,164.0416667,44.95833333,1
cs,165.0416667,44.79166667,1
cs,162.375,47.29166667,1
cs,162.2083333,45.79166667,1
cs,163.4583333,46.70833333,1
cs,163.4583333,46.625,1
cs,163.4583333,47.375,1
cs,167.7083333,48.20833333,1
cs,167.7916667,48.20833333,1
cs,168.4583333,48.54166667,1
cs,168.2083333,48.79166667,1
cs,168.0416667,48.875,1
cs,168.125,48.875,1
cs,168.4583333,48.625,1
cs,168.5416667,48.625,1
cs,168.5416667,48.70833333,1
cs,165.2916667,44.79166667,1
cs,165.0416667,42.45833333,1
cs,164.125,41.20833333,1
cs,164.125,41.29166667,1
cs,162.4583333,41.04166667,1
cs,161.625,41.125,1
cs,160.0416667,42.54166667,1
cs,160.375,41.45833333,1
cs,159.875,41.79166667,1
cs,159.875,41.79166667,1
cs,159.5416667,42.79166667,1
cs,159.625,42.70833333,1
cs,159.5416667,41.95833333,1
cs,159.5416667,39.79166667,1
cs,159.2916667,41.95833333,1
cs,159.2916667,42.04166667,1
cs,160.5416667,43.45833333,1
cs,160.5416667,43.54166667,1
cs,160.625,43.54166667,1
cs,161.2083333,40.95833333,1
cs,161.2916667,40.70833333,1
cs,161.2916667,40.625,1
cs,159.375,42.375,1
cs,156.9583333,43.45833333,1
cs,157.0416667,43.54166667,1
cs,154.375,43.04166667,1
cs,154.2916667,43.04166667,1
cs,158.9583333,42.125,1
cs,161.0416667,41.375,1
cs,161.375,38.45833333,1
cs,158.5416667,42.04166667,1
cs,155.2916667,42.79166667,1
cs,154.375,42.625,1
cs,151.4583333,41.79166667,1
cs,152.7083333,42.70833333,1
cs,153.7916667,43.29166667,1
cs,153.4583333,43.20833333,1
cs,153.2916667,43.375,1
cs,153.4583333,42.79166667,1
cs,147.4583333,39.70833333,1
cs,162.0416667,42.54166667,1
cs,160.5416667,42.625,1
cs,160.9583333,42.04166667,1
cs,162.9583333,42.125,1
cs,162.4583333,40.04166667,1
cs,162.7083333,39.20833333,1
cs,161.7083333,43.29166667,1
cs,161.2916667,43.20833333,1
cs,161.375,43.20833333,1
cs,160.7916667,47.79166667,1
cs,161.625,44.125,1
cs,162.9583333,41.29166667,1
cs,161.5416667,42.04166667,1
cs,161.7083333,42.29166667,1
cs,160.7916667,41.95833333,1
cs,160.2916667,42.20833333,1
cs,160.2916667,42.375,1
cs,161.2916667,42.45833333,1
cs,162.4583333,41.95833333,1
cs,161.9583333,42.04166667,1
cs,161.375,42.29166667,1
cs,161.0416667,39.625,1
cs,161.0416667,39.54166667,1
cs,161.7916667,43.04166667,1
cs,161.9583333,43.29166667,1
cs,161.7916667,43.70833333,1
cs,160.9583333,41.04166667,1
cs,161.0416667,40.95833333,1
cs,162.2083333,42.375,1
cs,161.625,43.95833333,1
cs,161.5416667,43.20833333,1
cs,161.4583333,41.95833333,1
cs,159.7083333,42.20833333,1
cs,159.7083333,42.54166667,1
cs,157.125,42.45833333,1
cs,157.375,42.20833333,1
cs,156.7083333,42.20833333,1
cs,157.2083333,42.375,1
cs,158.7916667,42.125,1
cs,161.7083333,38.70833333,1
cs,161.875,37.875,1
cs,159.4583333,40.54166667,1
cs,155.2916667,42.375,1
cs,151.875,41.79166667,1
cs,152.625,43.04166667,1
cs,152.7916667,42.875,1
cs,152.375,42.45833333,1
cs,152.2083333,41.95833333,1
cs,147.0416667,37.20833333,1
cs,147.2083333,36.875,1
cs,146.9583333,39.54166667,1
cs,147.0416667,39.54166667,1
cs,146.7083333,39.625,1
cs,161.2083333,42.45833333,1
cs,159.875,42.45833333,1
cs,162.7916667,41.79166667,1
cs,161.7083333,42.20833333,1
cs,160.9583333,39.625,1
cs,160.875,39.625,1
cs,161.9583333,43.54166667,1
cs,161.2916667,43.45833333,1
cs,161.2916667,43.375,1
cs,160.9583333,40.875,1
cs,161.7916667,44.04166667,1
cs,161.7083333,43.20833333,1
cs,161.5416667,41.79166667,1
cs,159.5416667,42.20833333,1
cs,159.0416667,42.45833333,1
cs,160.7083333,42.54166667,1
cs,159.7083333,42.70833333,1
cs,156.9583333,42.45833333,1
cs,156.7916667,41.95833333,1
cs,156.7083333,42.04166667,1
cs,160.7916667,40.04166667,1
cs,161.0416667,39.45833333,1
cs,155.9583333,42.20833333,1
cs,152.0416667,41.79166667,1
cs,153.375,43.375,1
cs,154.9583333,43.29166667,1
cs,157.0416667,42.875,1
cs,153.7083333,40.125,1
cs,146.375,35.79166667,1
cs,146.4583333,35.70833333,1
cs,146.4583333,35.70833333,1
cs,146.5416667,35.70833333,1
cs,146.5416667,35.625,1
cs,146.875,35.20833333,1
cs,154.375,42.125,1
cs,154.2916667,42.125,1
cs,147.375,39.625,1
cs,147.5416667,39.79166667,1
cs,147.0416667,39.70833333,1
cs,147.0416667,39.70833333,1
cs,146.9583333,39.70833333,1
cs,146.2916667,38.70833333,1
cs,146.5416667,38.70833333,1
cs,146.625,39.04166667,1
cs,167.7083333,42.29166667,1
cs,167.9583333,42.29166667,1
cs,168.0416667,41.95833333,1
cs,169.625,42.45833333,1
cs,169.375,42.79166667,1
cs,169.4583333,42.79166667,1
cs,169.7083333,42.95833333,1
cs,169.7916667,42.95833333,1
cs,170.0416667,43.79166667,1
cs,169.7916667,44.04166667,1
cs,165.375,43.95833333,1
cs,165.375,44.04166667,1
cs,165.4583333,44.20833333,1
cs,165.375,44.20833333,1
cs,166.7083333,43.375,1
cs,166.375,43.54166667,1
cs,167.375,46.875,1
cs,168.2916667,47.45833333,1
cs,168.0416667,47.45833333,1
cs,166.2916667,45.70833333,1
cs,165.7916667,43.70833333,1
cs,166.625,45.29166667,1
cs,163.125,45.79166667,1
cs,160.7083333,42.20833333,1
cs,160.9583333,42.375,1
cs,161.7083333,41.375,1
cs,160.875,39.70833333,1
cs,160.7916667,39.70833333,1
cs,161.2083333,43.45833333,1
cs,161.2916667,43.54166667,1
cs,156.7083333,42.20833333,1
cs,157.2083333,42.29166667,1
cs,158.7916667,42.04166667,1
cs,154.0416667,43.375,1
cs,154.7083333,41.70833333,1
cs,147.0416667,36.29166667,1
cs,147.0416667,36.29166667,1
cs,147.125,36.29166667,1
cs,147.4583333,35.625,1
cs,147.4583333,35.54166667,1
cs,147.4583333,35.45833333,1
cs,147.4583333,35.45833333,1
cs,154.2916667,42.29166667,1
cs,153.9583333,42.125,1
cs,147.4583333,39.70833333,1
cs,146.4583333,38.625,1
cs,146.5416667,39.04166667,1
cs,164.375,45.125,1
cs,164.375,45.04166667,1
cs,164.375,45.04166667,1
cs,164.4583333,45.20833333,1
cs,164.375,45.20833333,1
cs,165.375,46.54166667,1
cs,165.375,46.54166667,1
cs,152.2083333,41.95833333,1
cs,152.375,42.04166667,1
cs,152.375,42.04166667,1
cs,152.125,41.95833333,1
cs,152.125,41.95833333,1
cs,152.2083333,42.04166667,1
cs,152.2916667,42.04166667,1
cs,152.375,42.04166667,1
cs,158.375,42.95833333,1
cs,158.4583333,42.875,1
cs,158.5416667,42.875,1
cs,158.5416667,42.79166667,1
cs,158.4583333,42.70833333,1
cs,159.0416667,43.125,1
cs,159.125,43.125,1
cs,159.2083333,43.125,1
cs,164.2083333,41.625,1
cs,164.2083333,41.625,1
cs,164.2916667,41.625,1
cs,164.375,41.54166667,1
cs,164.375,41.54166667,1
cs,164.375,41.625,1
cs,163.125,45.04166667,1
cs,163.0416667,45.125,1
cs,163.0416667,45.04166667,1
cs,163.375,45.29166667,1
cs,163.375,45.20833333,1
cs,163.375,45.125,1
cs,163.125,45.125,1
cs,162.5416667,45.125,1
cs,162.5416667,45.20833333,1
cs,162.375,45.20833333,1
cs,162.9583333,45.125,1
cs,162.9583333,45.125,1
cs,162.9583333,45.04166667,1
cs,163.125,45.125,1
cs,163.2083333,45.20833333,1
cs,163.2083333,45.125,1
cs,163.4583333,45.20833333,1
cs,164.875,44.45833333,1
cs,164.4583333,42.04166667,1
cs,164.2083333,41.875,1
cs,164.2916667,41.875,1
cs,161.9583333,41.375,1
cs,162.0416667,41.375,1
cs,161.9583333,41.54166667,1
cs,162.375,42.375,1
cs,164.7916667,42.04166667,1
cs,164.7083333,42.04166667,1
cs,163.9583333,42.125,1
cs,162.625,41.95833333,1
cs,161.9583333,42.70833333,1
cs,161.9583333,42.70833333,1
cs,162.625,42.79166667,1
cs,162.5416667,42.79166667,1
cs,162.4583333,42.875,1
cs,162.7083333,42.95833333,1
cs,157.625,43.04166667,1
cs,157.625,42.95833333,1
cs,157.2916667,44.625,1
cs,157.4583333,44.54166667,1
cs,157.375,44.54166667,1
cs,157.375,44.45833333,1
cs,158.375,43.875,1
cs,158.375,43.79166667,1
cs,161.2916667,42.45833333,1
cs,161.2916667,42.375,1
cs,161.9583333,42.70833333,1
cs,161.625,42.625,1
cs,156.9583333,43.54166667,1
cs,157.125,43.54166667,1
cs,156.5416667,44.04166667,1
cs,156.625,44.04166667,1
cs,156.625,44.04166667,1
cs,160.5416667,43.375,1
cs,160.5416667,43.375,1
cs,160.5416667,43.29166667,1
cs,160.875,42.875,1
cs,160.7916667,42.70833333,1
cs,160.625,43.375,1
cs,160.625,43.29166667,1
cs,160.4583333,43.04166667,1
cs,161.2916667,42.375,1
cs,160.7083333,42.95833333,1
cs,160.2083333,43.04166667,1
cs,160.0416667,43.29166667,1
cs,160.0416667,43.375,1
cs,153.9583333,43.79166667,1
cs,151.9583333,42.125,1
cs,151.875,42.20833333,1
cs,151.625,42.20833333,1
cs,151.5416667,42.20833333,1
cs,152.0416667,42.375,1
cs,152.0416667,42.375,1
cs,152.125,42.375,1
cs,157.2916667,43.375,1
cs,153.875,42.875,1
cs,153.7916667,42.875,1
cs,152.875,42.70833333,1
cs,152.625,42.54166667,1
cs,152.5416667,42.54166667,1
cs,153.4583333,43.45833333,1
cs,161.0416667,42.29166667,1
cs,151.875,42.125,1
cs,152.0416667,42.125,1
cs,151.5416667,42.20833333,1
cs,151.375,42.20833333,1
cs,151.2916667,42.20833333,1
cs,151.7916667,42.20833333,1
cs,151.875,42.20833333,1
cs,151.7916667,42.20833333,1
cs,154.4583333,43.875,1
cs,154.2083333,43.875,1
cs,147.7083333,40.04166667,1
cs,147.7083333,39.20833333,1
cs,147.7083333,39.20833333,1
cs,147.625,39.04166667,1
cs,147.7083333,39.29166667,1
cs,147.4583333,39.29166667,1
cs,147.5416667,39.125,1
cs,152.2083333,41.54166667,1
cs,152.375,41.54166667,1
cs,152.375,41.54166667,1
cs,152.375,41.54166667,1
cs,152.4583333,41.54166667,1
cs,147.375,39.375,1
cs,147.375,39.45833333,1
cs,147.7083333,39.29166667,1
cs,147.7916667,39.29166667,1
cs,147.5416667,39.625,1
cs,147.7916667,40.125,1
cs,150.0416667,41.04166667,1
cs,150.0416667,41.125,1
cs,149.9583333,38.875,1
cs,149.9583333,38.95833333,1
cs,147.5416667,40.04166667,1
cs,147.5416667,40.04166667,1
cs,147.7916667,40.20833333,1
cs,147.7083333,40.20833333,1
cs,147.7083333,40.125,1
cs,148.625,40.54166667,1
cs,148.7083333,40.54166667,1
cs,148.7083333,40.54166667,1
cs,148.7083333,40.54166667,1
cs,150.875,41.04166667,1
cs,150.2916667,40.875,1
cs,150.2916667,40.95833333,1
cs,151.375,41.29166667,1
cs,151.125,41.29166667,1
cs,151.2083333,41.20833333,1
cs,151.2083333,41.125,1
cs,151.0416667,41.04166667,1
cs,151.0416667,40.95833333,1
cs,151.2083333,41.29166667,1
cs,151.2083333,41.375,1
cs,151.125,41.375,1
cs,151.0416667,41.375,1
cs,151.2083333,41.45833333,1
cs,150.5416667,40.79166667,1
cs,150.625,40.79166667,1
cs,168.625,48.04166667,1
cs,168.125,48.125,1
cs,168.2083333,48.125,1
cs,168.125,47.70833333,1
cs,168.125,47.875,1
cs,168.0416667,47.875,1
cs,168.125,47.95833333,1
cs,168.2916667,48.04166667,1
cs,167.5416667,47.875,1
cs,167.625,47.875,1
cs,167.7083333,47.79166667,1
cs,166.7083333,47.29166667,1
cs,166.7916667,47.29166667,1
cs,166.625,47.20833333,1
cs,166.5416667,47.20833333,1
cs,166.4583333,46.95833333,1
cs,166.375,46.95833333,1
cs,165.5416667,46.125,1
cs,165.5416667,46.125,1
cs,165.4583333,46.125,1
cs,165.4583333,46.125,1
cs,164.7083333,45.375,1
cs,164.7083333,45.29166667,1
cs,164.7083333,45.29166667,1
cs,164.625,45.29166667,1
cs,164.5416667,45.29166667,1
cs,164.4583333,45.29166667,1
cs,165.4583333,46.45833333,1
cs,165.4583333,46.375,1
cs,152.2916667,41.95833333,1
cs,152.125,41.875,1
cs,158.2916667,42.95833333,1
cs,158.2916667,42.95833333,1
cs,158.375,42.875,1
cs,158.7916667,42.95833333,1
cs,158.875,42.95833333,1
cs,158.9583333,42.95833333,1
cs,159.125,43.04166667,1
cs,159.2083333,43.04166667,1
cs,159.2916667,43.04166667,1
cs,164.2083333,41.54166667,1
cs,164.2083333,41.54166667,1
cs,164.2916667,41.54166667,1
cs,164.2083333,41.54166667,1
cs,164.2083333,41.54166667,1
cs,163.0416667,44.95833333,1
cs,163.375,45.375,1
cs,163.0416667,45.20833333,1
cs,163.125,45.20833333,1
cs,162.4583333,45.04166667,1
cs,162.4583333,45.125,1
cs,162.4583333,45.125,1
cs,162.375,45.04166667,1
cs,163.125,45.20833333,1
cs,164.625,44.54166667,1
cs,164.5416667,44.54166667,1
cs,164.125,41.95833333,1
cs,164.2083333,41.95833333,1
cs,164.2083333,41.95833333,1
cs,158.875,44.04166667,1
cs,158.9583333,44.04166667,1
cs,161.9583333,42.79166667,1
cs,162.625,42.70833333,1
cs,162.5416667,42.875,1
cs,163.0416667,42.70833333,1
cs,157.7916667,43.125,1
cs,157.7916667,43.29166667,1
cs,157.875,43.375,1
cs,157.4583333,44.45833333,1
cs,157.5416667,44.54166667,1
cs,157.5416667,44.45833333,1
cs,158.375,43.70833333,1
cs,158.2916667,43.70833333,1
cs,161.4583333,42.45833333,1
cs,161.4583333,42.54166667,1
cs,161.2916667,42.54166667,1
cs,157.4583333,42.95833333,1
cs,157.2916667,43.20833333,1
cs,157.7083333,42.95833333,1
cs,157.7916667,42.95833333,1
cs,160.625,42.95833333,1
cs,160.5416667,43.04166667,1
cs,160.4583333,43.04166667,1
cs,160.375,43.04166667,1
cs,161.0416667,42.625,1
cs,163.375,42.45833333,1
cs,163.2916667,42.375,1
cs,163.2916667,42.45833333,1
cs,163.2083333,42.45833333,1
cs,160.0416667,43.29166667,1
cs,160.0416667,43.20833333,1
cs,160.0416667,43.125,1
cs,152.4583333,42.875,1
cs,152.4583333,42.79166667,1
cs,152.0416667,42.70833333,1
cs,152.125,42.70833333,1
cs,152.2083333,42.79166667,1
cs,152.5416667,42.79166667,1
cs,152.5416667,42.875,1
cs,152.625,42.625,1
cs,152.625,42.625,1
cs,152.625,42.625,1
cs,152.7916667,42.54166667,1
cs,156.9583333,43.20833333,1
cs,157.0416667,43.20833333,1
cs,151.7916667,42.20833333,1
cs,151.375,42.20833333,1
cs,151.375,42.125,1
cs,151.375,42.125,1
cs,151.2083333,42.125,1
cs,151.5416667,42.125,1
cs,151.625,42.125,1
cs,151.625,42.125,1
cs,147.7916667,40.04166667,1
